,id,dianpin_id,region,shop_name,category,category_name,avg_price_raw,avg_price,dianpin_num,rate_taste,rate_env,rate_service,address,telephone,task_id,sub_type,is_finished,status_range
0,1,32338381,虹桥镇,上海滩餐厅,198,本帮菜,￥283/人,283,458,9.1,9.2,9,申长路888弄2号楼1楼,02133586777,,本帮菜,1,4
1,2,65631392,虹桥镇,小家居,101,本帮江浙菜,￥114/人,114,155,9,9.1,9,吴中路478号云峰大厦1-3楼,02160409111,,本帮江浙菜,1,2
2,3,9806762,春申地区,农家厨房,25474,农家菜,￥72/人,72,850,9.1,9,9,畹町路108号(近万科),02154473987,,农家菜,1,4
3,4,21593760,老闵行,海宁煲,101,本帮江浙菜,￥43/人,43,322,9,8.1,9,红园路20号(江川儿童城),13817106536,,本帮江浙菜,1,4
4,5,68061114,闵行区,吕四渔港,101,本帮江浙菜,￥76/人,76,99,9.1,9.1,9.1,鹤庆路900号碧江生活广场3号楼3楼,02164353177,,本帮江浙菜,1,1
5,6,584362,七宝,诺宝中心酒店,204,其他江浙菜,￥54/人,54,136,8.8,8.8,8.7,漕宝路1688号诺宝中心大酒店2楼(漕宝路与星东路交口),02164191688,,其他江浙菜,1,2
6,7,22914250,莘庄,老爸厨房,101,本帮江浙菜,￥80/人,80,907,9,8.9,9.1,莘建东路399弄26支弄27号(莘庄地铁站北广场),02162217561,,本帮江浙菜,1,4
7,8,13797096,华漕,农家大院,25474,农家菜,￥81/人,81,2534,8.9,8.6,8.4,None,-1,,农家菜,1,4
8,9,20930088,虹桥镇,晶苑餐厅,198,本帮菜,￥271/人,271,956,9.1,9.2,8.6,None,-1,,本帮菜,1,4
9,10,23430635,万源城/东兰路,宏亮庄园,251,本帮江浙菜,￥111/人,111,733,8.9,9.1,9,莲花路1328号(近东兰路),None,,海鲜,1,4
10,11,2781505,老闵行,梦雅,198,本帮菜,￥88/人,88,1151,9,8.8,9,红园路42号(近江川路),02154752386,,本帮菜,1,4
11,12,66545994,莘庄,老爸厨房,204,其他江浙菜,￥77/人,77,,8.7,9.1,9.1,水清路288号(房地产交易中心斜对面),02152967561,,其他江浙菜,1,
12,13,23541559,莘庄,筵禧楼,101,本帮江浙菜,￥74/人,74,384,9,9,8.7,水清路380号(庙泾路上海闵行区招商服务中心旁),02152966977,,本帮江浙菜,1,4
13,14,27339105,莘庄龙之梦,胖哥俩肉蟹煲,252,其他江浙菜,￥72/人,72,4206,8.8,8.7,8.8,None,-1,,其他中餐,1,4
14,15,5699552,虹桥镇,汇悦餐厅,204,其他江浙菜,￥141/人,141,797,9,8.8,8.6,程家桥路181号汉庭酒店1楼,02164770377,,其他江浙菜,1,4
15,16,2369023,南方商城,罗阳人家,204,其他江浙菜,￥55/人,55,218,8.6,7.9,8.5,罗阳路261弄6号(近莲花路),02134080002,,其他江浙菜,1,3
16,17,3298114,老闵行,淮河两岸农家菜,25474,农家菜,￥70/人,70,275,8.9,8.4,8.3,江川路291弄27号(兰坪路),02154713831,,农家菜,1,3
17,18,65391021,闵行区,溪林小馆,198,本帮菜,￥62/人,62,,8.6,8.9,8.5,江月路1850弄1-6号城市广场B座4楼,02134785623,,本帮菜,1,
18,19,28284208,华漕,胖哥俩肉蟹煲,204,其他江浙菜,￥68/人,68,2827,8.7,8.8,8.5,None,-1,,其他江浙菜,1,4
19,20,65726898,闵行区,丰和日丽,200,宁波菜,￥134/人,134,232,8.6,8.9,8.4,申长路688号虹桥天地南区购物中心5号楼5楼,None,,宁波菜,1,3
20,21,21291755,老闵行,梦雅花园酒家,198,本帮菜,￥86/人,86,610,8.8,8.7,8.6,江川路595号,None,,本帮菜,1,4
21,22,19145798,莘庄,农家厨房,25474,农家菜,￥69/人,69,677,9,8.4,8.6,莘潭路423号(原小肥羊),02162962805,,农家菜,1,4
22,23,27478785,莘庄,爱莲说,204,其他江浙菜,￥71/人,71,300,8.6,8.8,8.8,None,-1,,其他江浙菜,1,3
23,24,4178496,浦江镇,碧丽宫大酒店,198,本帮菜,￥96/人,96,420,8.6,9,8.2,浦江镇沈杜公路2073号召稼楼古镇资训路1号(原沈家花园店),02167282777,,本帮菜,1,4
24,25,4548771,南方商城,金时代顺风大酒店,204,其他江浙菜,￥111/人,111,2967,8.7,8.2,8,沪闵路7866号莲花广场4楼(古方路口),None,,其他江浙菜,1,4
25,26,43383106,七宝,乡村大院,25474,农家菜,￥74/人,74,734,8.6,8.6,8.2,None,-1,,农家菜,1,4
26,27,19349174,万源城/东兰路,万源小馆,198,本帮菜,￥97/人,97,1352,8.7,8.5,8.2,None,-1,,本帮菜,1,4
27,28,22801006,浦江镇,浦江农家乐,25474,农家菜,￥63/人,63,,8.4,8.2,8,浦江镇江文路589号三楼,02160833379,,农家菜,1,
28,29,5565632,七宝,御彩轩中餐,204,其他江浙菜,￥337/人,337,163,8.5,9,8.8,沪星路289弄顺恒国际商业广场27号,02134737977,,其他江浙菜,1,2
29,30,500243,莘庄,和记小菜,198,本帮菜,￥104/人,104,4690,7.8,7.6,7.2,None,-1,,本帮菜,1,4
30,31,16723477,莘庄,聚鑫阁,204,其他江浙菜,￥65/人,65,449,8.4,7.9,7.9,秀文路527号,02164121717,,其他江浙菜,1,4
31,32,66278738,闵行区,馨裕轩大酒店,204,其他江浙菜,￥121/人,121,43,8.5,8.4,8.2,沪闵路7966号,02151756777,,其他江浙菜,1,0
32,33,19458878,闵行区,象渔177家宴,198,本帮菜,￥59/人,59,315,8.3,8.1,8,浦涛路399弄5号(近三鲁路),02161456877,,本帮菜,1,4
33,34,66483464,七宝,来来回回上海小馆,204,其他江浙菜,￥66/人,66,517,8.5,8.5,8.1,沪星路105号车配龙生活欢乐港1楼2栋(巴黎春天),02154707667,,其他江浙菜,1,4
34,35,24294506,南方商城,美林阁,198,本帮菜,￥121/人,121,579,8.5,8.3,7.9,None,-1,,本帮菜,1,4
35,36,19001786,虹桥镇,锦上鱼府演绎餐厅,198,本帮菜,￥148/人,148,463,8,8.7,8.8,None,-1,,本帮菜,1,4
36,37,5588899,莘庄,乐中乐邻家菜,198,本帮菜,￥47/人,47,82,8.5,7.4,7.6,疏影路792号(近莘庄乐购),02134970705,,本帮菜,1,1
37,38,15929451,虹梅路,外婆菜之崇明味道,204,其他江浙菜,￥63/人,63,579,8.4,7.9,8,虹梅路265号103室(近锦江乐园),None,,其他江浙菜,1,4
38,39,57042995,闵行区,三林本帮馆,198,本帮菜,￥71/人,71,467,8.5,8.1,8.1,召稼楼古镇兴东街1-3号,None,,本帮菜,1,4
39,40,503529,莘庄,锦江大厨,198,本帮菜,￥103/人,103,670,7.8,7.7,7.7,水清南路19号(莘庄地铁站北广场),02154132358,,本帮菜,1,4
40,41,21289564,莘庄,筵禧楼,101,本帮江浙菜,￥73/人,73,462,8.7,8.3,8.2,莘沥路558号(靠近西环路兴兴商厦1楼),02152968779,,本帮江浙菜,1,4
41,42,66578787,南方商城,大知虾,112,本帮江浙菜,￥91/人,91,48,8.2,7.9,8.4,秀文路528号(七莘路),None,,小吃快餐,1,0
42,43,57960752,闵行区,食八档,204,其他江浙菜,￥64/人,64,1224,8.2,8.4,8.2,沪闵路莲花国际广场b1-22号,4008617517,,其他江浙菜,1,4
